t, reading, imuVal 
21.58900, 531.00000, -16188.00000
21.63900, 535.00000, -16372.00000
21.68800, 535.00000, -16244.00000
21.73800, 540.00000, -16074.00000
21.78800, 518.00000, -15882.00000
21.83900, 524.00000, -16050.00000
21.88900, 531.00000, -16332.00000
21.93900, 531.00000, -16168.00000
21.98800, 532.00000, -16034.00000
22.03800, 541.00000, -16266.00000
22.08800, 530.00000, -16466.00000
22.13900, 531.00000, -16252.00000
22.18900, 533.00000, -16316.00000
22.23900, 536.00000, -16518.00000
22.28800, 508.00000, -16834.00000
22.33800, 530.00000, -16442.00000
22.38900, 532.00000, -15890.00000
22.43900, 532.00000, -15592.00000
22.48900, 529.00000, -15536.00000
22.53900, 545.00000, -15800.00000
22.58800, 554.00000, -15842.00000
22.63800, 534.00000, -16058.00000
22.68900, 529.00000, -16048.00000
22.73900, 526.00000, -15644.00000
22.78900, 525.00000, -15968.00000
22.83900, 534.00000, -15768.00000
22.88800, 529.00000, -14014.00000
22.93800, 477.00000, -12052.00000
22.98900, 512.00000, -17736.00000
23.03900, 531.00000, -21972.00000
23.08900, 526.00000, -24716.00000
23.13900, 518.00000, -17612.00000
23.18800, 522.00000, -12358.00000
23.23800, 525.00000, -10570.00000
23.28900, 519.00000, -17802.00000
23.33900, 518.00000, -20922.00000
23.38900, 521.00000, -18174.00000
23.43900, 519.00000, -15062.00000
23.48800, 521.00000, -14458.00000
23.53800, 515.00000, -14716.00000
23.58900, 514.00000, -14158.00000
23.63900, 514.00000, -14888.00000
23.68900, 508.00000, -16202.00000
23.73900, 505.00000, -21916.00000
23.78800, 503.00000, -15726.00000
23.83800, 516.00000, -15676.00000
23.88900, 518.00000, -15066.00000
23.93900, 516.00000, -19120.00000
23.98900, 514.00000, -18478.00000
24.03900, 520.00000, -16088.00000
24.08800, 518.00000, -14492.00000
24.13900, 518.00000, -14456.00000
24.18900, 519.00000, -14290.00000
24.23900, 519.00000, -14320.00000
24.28900, 519.00000, -14084.00000
24.33900, 520.00000, -15882.00000
24.38800, 522.00000, -19706.00000
24.43900, 420.00000, -25866.00000
24.48900, 525.00000, -15558.00000
24.53900, 522.00000, -9786.00000
24.58900, 530.00000, -13374.00000
24.63900, 520.00000, -20818.00000
24.68800, 516.00000, -20942.00000
24.73900, 522.00000, -16418.00000
24.78900, 517.00000, -12766.00000
24.83900, 524.00000, -13074.00000
24.88900, 517.00000, -15394.00000
