t, reading, imuVal 
8.75500, 521.00000, 2184.00000
8.80400, 522.00000, 1174.00000
8.85400, 525.00000, 580.00000
8.90400, 534.00000, 824.00000
8.95500, 522.00000, 3144.00000
9.05000, 507.00000, 2566.00000
9.05500, 529.00000, 4272.00000
9.10400, 526.00000, 1280.00000
9.15400, 523.00000, 2544.00000
9.20500, 528.00000, 2534.00000
9.25500, 524.00000, 2046.00000
9.30500, 532.00000, 1230.00000
9.35500, 481.00000, 1490.00000
9.40400, 530.00000, 2344.00000
9.45400, 525.00000, 1954.00000
9.50500, 526.00000, 1842.00000
9.55500, 522.00000, 2734.00000
9.60500, 526.00000, 2220.00000
9.65500, 530.00000, 1620.00000
9.70400, 522.00000, 1688.00000
9.75400, 529.00000, 2246.00000
9.80500, 532.00000, 2172.00000
9.85500, 529.00000, 2180.00000
9.90500, 532.00000, 3410.00000
9.95500, 536.00000, 3254.00000
10.04000, 529.00000, 2336.00000
10.05400, 533.00000, 2388.00000
10.10500, 524.00000, 3594.00000
10.15500, 502.00000, 2948.00000
10.20500, 511.00000, 3410.00000
10.25500, 506.00000, 4036.00000
10.30400, 538.00000, 4006.00000
10.35400, 523.00000, 3886.00000
10.40500, 469.00000, 2430.00000
10.45500, 597.00000, 3360.00000
10.50500, 527.00000, 3950.00000
10.55500, 507.00000, 1310.00000
10.60400, 537.00000, 3864.00000
10.65400, 537.00000, 3178.00000
10.70500, 536.00000, 774.00000
10.75500, 533.00000, 3258.00000
10.80500, 541.00000, 3322.00000
10.85500, 535.00000, 558.00000
10.90400, 531.00000, -4722.00000
10.95500, 519.00000, -5414.00000
11.05000, 535.00000, -2638.00000
11.05500, 492.00000, -826.00000
11.10500, 523.00000, 670.00000
11.15500, 507.00000, 920.00000
11.20400, 532.00000, 264.00000
11.25500, 533.00000, 174.00000
11.30500, 536.00000, -2.00000
11.35500, 536.00000, 746.00000
11.40500, 539.00000, 868.00000
11.45500, 527.00000, 796.00000
11.50400, 536.00000, 568.00000
11.55500, 513.00000, 3914.00000
11.60500, 521.00000, 1230.00000
11.65500, 466.00000, -30.00000
11.70500, 518.00000, 620.00000
11.75500, 532.00000, 5424.00000
11.80400, 509.00000, 982.00000
11.85500, 518.00000, 1920.00000
11.90500, 525.00000, 2988.00000
11.95500, 516.00000, 3276.00000
12.05000, 509.00000, 2570.00000
12.05500, 520.00000, 3920.00000
12.10400, 518.00000, 6162.00000
12.15500, 517.00000, 3836.00000
12.20500, 515.00000, 440.00000
12.25500, 531.00000, -2640.00000
12.30500, 508.00000, 2710.00000
12.35500, 512.00000, 5824.00000
12.40500, 519.00000, -488.00000
12.45500, 522.00000, -4504.00000
12.50500, 510.00000, -2002.00000
12.55500, 512.00000, 1138.00000
12.60500, 518.00000, -878.00000
12.65400, 522.00000, -3444.00000
12.70500, 513.00000, -3262.00000
12.75500, 518.00000, -230.00000
12.80500, 522.00000, 50.00000
12.85500, 521.00000, -2888.00000
12.90500, 514.00000, 1132.00000
12.95400, 516.00000, 2250.00000
13.05000, 524.00000, 2028.00000
13.05500, 523.00000, -754.00000
13.10500, 515.00000, -2322.00000
13.15500, 519.00000, -1266.00000
13.20500, 520.00000, -1586.00000
13.25400, 522.00000, 1396.00000
