t, reading, imuVal 
69.32900, 480.00000, 2170.12559
69.37900, 462.00000, 9948.31245
69.42800, 451.00000, 20067.69229
69.47800, 453.00000, 24941.84563
69.52800, 480.00000, 23898.61680
69.57900, 463.00000, 21777.55102
69.62900, 468.00000, 21276.47153
69.67900, 497.00000, 21846.58638
69.72800, 481.00000, 22260.72106
69.77800, 467.00000, 22200.95346
69.82800, 485.00000, 22009.87868
69.87900, 490.00000, 21958.94516
69.92900, 492.00000, 22017.60953
69.97900, 482.00000, 22069.88582
70.02800, 485.00000, 22095.70092
70.07800, 464.00000, 22111.16673
70.12800, 490.00000, 22078.65205
70.17900, 477.00000, 21951.55682
70.22900, 509.00000, 21815.93296
70.27800, 496.00000, 21841.42697
70.32800, 511.00000, 21933.86604
70.37800, 467.00000, 21895.03095
70.42800, 493.00000, 21829.10654
70.47900, 568.00000, 21865.05738
70.52900, 471.00000, 21911.61797
70.57800, 478.00000, 21864.26196
70.62800, 604.00000, 21781.27079
70.67800, 467.00000, 21793.99596
70.72800, 476.00000, 21915.05254
70.77900, 564.00000, 21926.02606
70.82900, 550.00000, 21732.47657
70.87800, 507.00000, 21589.79086
70.92800, 493.00000, 21402.91292
70.97800, 570.00000, 21117.32316
71.02900, 618.00000, 21253.96514
71.07900, 502.00000, 21697.79457
71.12900, 535.00000, 21796.91642
71.17800, 620.00000, 21518.94709
71.22800, 593.00000, 21222.07346
71.27800, 510.00000, 21192.83749
71.32900, 587.00000, 21443.33602
71.37900, 609.00000, 21535.90603
71.42900, 572.00000, 21274.92788
71.47800, 625.00000, 21111.93995
71.52800, 539.00000, 21271.46984
71.57800, 584.00000, 21459.98432
71.62900, 615.00000, 21458.05332
71.67900, 575.00000, 21343.26073
71.72900, 539.00000, 21281.91800
71.77800, 613.00000, 21343.85431
71.82800, 594.00000, 21427.62496
71.87800, 544.00000, 21334.24914
71.92900, 610.00000, 21133.79877
71.97900, 582.00000, 21131.40774
72.02900, 656.00000, 21343.88150
72.07800, 575.00000, 21420.00023
72.12800, 413.00000, 21164.91841
72.17800, 740.00000, 20929.13667
72.22900, 608.00000, 21027.26747
72.27900, 490.00000, 21246.69013
72.32900, 557.00000, 21395.68740
72.37800, 702.00000, 21432.30364
72.42800, 612.00000, 21343.86563
72.47800, 416.00000, 21301.29639
72.52900, 613.00000, 21244.78248
72.57900, 693.00000, 21101.38080
72.62900, 497.00000, 21171.45193
72.67800, 467.00000, 21399.67445
72.72800, 659.00000, 21445.70289
72.77900, 579.00000, 21364.20085
72.82900, 540.00000, 21344.65194
72.87900, 517.00000, 21349.45721
72.92900, 523.00000, 21279.04304
72.97800, 607.00000, 21186.01687
73.02800, 538.00000, 21208.58532
73.07900, 439.00000, 21320.11421
73.12900, 543.00000, 21343.94500
73.17900, 569.00000, 21277.05764
73.22900, 459.00000, 21219.48815
73.27800, 494.00000, 21145.88127
73.32800, 575.00000, 21077.39610
73.37900, 467.00000, 21126.93301
73.42900, 442.00000, 21240.59308
73.47900, 534.00000, 21325.97703
73.52900, 455.00000, 21454.61219
73.57800, 469.00000, 21647.50609
73.62800, 520.00000, 21703.82091
73.67900, 308.00000, 21238.21730
73.72900, 528.00000, 20572.67170
73.77900, 594.00000, 20657.78639
73.82900, 440.00000, 21259.38054
73.87800, 126.00000, 21425.50638
73.92800, 733.00000, 21183.35340
73.97900, 574.00000, 21003.84211
74.02900, 127.00000, 20991.61676
74.07900, 668.00000, 21157.56395
74.12900, 619.00000, 21410.58506
74.17800, 286.00000, 21460.54612
74.22900, 342.00000, 21285.79036
74.27900, 666.00000, 21252.75774
74.32900, 418.00000, 21424.50577
74.37900, 317.00000, 21484.41724
74.42900, 546.00000, 21417.46714
74.47800, 497.00000, 21388.49506
74.52900, 379.00000, 21387.77644
74.57900, 451.00000, 21357.04389
74.62900, 498.00000, 21346.96180
74.67900, 492.00000, 21453.76113
74.72900, 336.00000, 21579.28770
74.77800, 518.00000, 21634.48322
74.82900, 574.00000, 21660.18888
74.87900, 390.00000, 21675.18405
74.92900, 415.00000, 21639.63243
74.97900, 576.00000, 21465.28048
75.02900, 468.00000, 21344.41009
75.07800, 418.00000, 21479.19249
75.12900, 505.00000, 21627.52578
75.17900, 574.00000, 21635.87960
75.22900, 422.00000, 21583.77127
75.27900, 498.00000, 21443.25996
75.32900, 520.00000, 21318.36256
75.37800, 475.00000, 21426.35908
75.42900, 528.00000, 21659.37989
75.47900, 510.00000, 21751.36424
75.52900, 484.00000, 21661.01639
75.57900, 533.00000, 21489.58226
75.62900, 549.00000, 21354.32424
75.67800, 516.00000, 21375.95715
