t, reading, imuVal 
307.89500, 486.00000, 2388.18214
307.94500, 466.00000, 11020.65968
307.99400, 516.00000, 22538.80173
308.04500, 513.00000, 28730.73462
308.09500, 435.00000, 28390.05881
308.14500, 447.00000, 26079.25715
308.19500, 584.00000, 24813.19509
308.24500, 505.00000, 24892.62013
308.29400, 419.00000, 25523.27114
308.34500, 522.00000, 25997.91182
308.39500, 530.00000, 26032.83745
308.44500, 433.00000, 25763.37640
308.49500, 434.00000, 25578.63506
308.54500, 523.00000, 25748.79882
308.59400, 477.00000, 26069.38438
308.64500, 429.00000, 26174.45857
308.69500, 553.00000, 26148.26519
308.74500, 501.00000, 25895.44015
308.79500, 479.00000, 25089.83462
308.84400, 545.00000, 24511.97149
308.89400, 571.00000, 25014.66370
308.94500, 440.00000, 25963.67284
308.99500, 385.00000, 26256.65998
309.04500, 629.00000, 25471.38465
309.09500, 530.00000, 24139.75248
309.14400, 316.00000, 23112.26215
309.19500, 674.00000, 22828.50847
309.24500, 576.00000, 23141.54699
309.29500, 211.00000, 22685.74791
309.34500, 126.00000, 20623.42754
309.39500, 900.00000, 18943.34457
309.44400, 551.00000, 19608.76252
309.49500, 125.00000, 22092.81106
309.54500, 900.00000, 24663.08660
309.59500, 602.00000, 25865.58967
309.64500, 278.00000, 25641.88161
309.69500, 617.00000, 24813.10471
309.74400, 662.00000, 24212.31968
309.79500, 497.00000, 24514.64331
309.84500, 252.00000, 25542.27910
309.89500, 753.00000, 26532.98045
309.94500, 596.00000, 27261.09156
309.99500, 470.00000, 27886.03185
310.04400, 360.00000, 28063.84385
310.09500, 754.00000, 27655.96991
310.14500, 527.00000, 27542.05660
310.19500, 437.00000, 27778.58168
310.24500, 474.00000, 27323.85305
310.29500, 681.00000, 26574.41616
310.34400, 542.00000, 26459.96284
310.39500, 217.00000, 26437.68951
310.44500, 671.00000, 25434.71840
310.49500, 558.00000, 23272.17819
310.54500, 126.00000, 21812.63313
310.59500, 219.00000, 22961.75940
310.64500, 710.00000, 25780.31738
310.69500, 900.00000, 28347.26810
310.74500, 900.00000, 29930.25265
310.79500, 758.00000, 30684.16538
310.84500, 498.00000, 30733.76353
310.89500, 125.00000, 29520.90828
310.94500, 900.00000, 26542.57786
310.99500, 900.00000, 22512.75855
311.04500, 125.00000, 19695.17079
311.09500, 900.00000, 19787.93809
311.14500, 679.00000, 20976.12128
311.19500, 125.00000, 20605.62257
311.24500, 900.00000, 19648.12160
311.29500, 773.00000, 20520.97305
311.34500, 357.00000, 23204.31098
311.39500, 359.00000, 25811.45198
311.44500, 619.00000, 27091.96643
311.49500, 605.00000, 27421.92705
311.54500, 639.00000, 27699.19677
311.59500, 646.00000, 28328.77803
311.64500, 660.00000, 29358.87098
311.69500, 458.00000, 30566.26407
