t, reading, imuVal 
342.09900, 530.00000, 24172.00000
342.14900, 517.00000, 23934.00000
342.19900, 524.00000, 24186.00000
342.24900, 499.00000, 25120.00000
342.29900, 517.00000, 26058.00000
342.34900, 530.00000, 25200.00000
342.39900, 516.00000, 23896.00000
342.44900, 513.00000, 23498.00000
342.49900, 522.00000, 24690.00000
342.54900, 514.00000, 25218.00000
342.60000, 522.00000, 24976.00000
342.64900, 526.00000, 24150.00000
342.69900, 524.00000, 23950.00000
342.74900, 526.00000, 24452.00000
342.79900, 523.00000, 25012.00000
342.84900, 510.00000, 24548.00000
342.90000, 531.00000, 25032.00000
342.94900, 515.00000, 24766.00000
342.99900, 515.00000, 24886.00000
343.04900, 481.00000, 24476.00000
343.09900, 511.00000, 24388.00000
343.14900, 525.00000, 24476.00000
343.20000, 513.00000, 24372.00000
343.24900, 483.00000, 24792.00000
343.29900, 525.00000, 24304.00000
343.34900, 527.00000, 24592.00000
343.39900, 515.00000, 23808.00000
343.44900, 488.00000, 24560.00000
343.50000, 524.00000, 24636.00000
343.54900, 527.00000, 24920.00000
343.59900, 526.00000, 25340.00000
343.64900, 516.00000, 24296.00000
343.69900, 519.00000, 23514.00000
343.74900, 526.00000, 24314.00000
343.80000, 523.00000, 24776.00000
343.84900, 522.00000, 24798.00000
343.89900, 530.00000, 24134.00000
343.94900, 523.00000, 24318.00000
343.99900, 517.00000, 24662.00000
344.05000, 522.00000, 24528.00000
344.01000, 536.00000, 24784.00000
344.14900, 524.00000, 24426.00000
344.19900, 521.00000, 24440.00000
344.24900, 522.00000, 24420.00000
344.29900, 519.00000, 24374.00000
344.35000, 524.00000, 25342.00000
344.40000, 518.00000, 24268.00000
344.44900, 518.00000, 24122.00000
344.49900, 532.00000, 23888.00000
344.54900, 517.00000, 25436.00000
344.59900, 513.00000, 25448.00000
344.65000, 518.00000, 24050.00000
344.70000, 519.00000, 23282.00000
344.74900, 521.00000, 24482.00000
344.79900, 514.00000, 25140.00000
344.84900, 517.00000, 25352.00000
344.89900, 518.00000, 24500.00000
344.95000, 517.00000, 23978.00000
345.00000, 523.00000, 23956.00000
345.04900, 540.00000, 24820.00000
345.09900, 529.00000, 25442.00000
345.14900, 522.00000, 24892.00000
345.19900, 523.00000, 24180.00000
345.25000, 526.00000, 24564.00000
345.30000, 525.00000, 25210.00000
345.34900, 526.00000, 24628.00000
345.39900, 521.00000, 24068.00000
345.44900, 520.00000, 24722.00000
345.49900, 525.00000, 24746.00000
345.55000, 521.00000, 24816.00000
345.60000, 516.00000, 25032.00000
345.64900, 516.00000, 24164.00000
345.69900, 523.00000, 24468.00000
345.74900, 521.00000, 24438.00000
345.80000, 521.00000, 24814.00000
345.85000, 516.00000, 24304.00000
345.90000, 523.00000, 24620.00000
345.94900, 520.00000, 24972.00000
345.99900, 527.00000, 25410.00000
346.04900, 517.00000, 23936.00000
346.01000, 519.00000, 23552.00000
346.15000, 523.00000, 25512.00000
346.20000, 527.00000, 25182.00000
346.24900, 518.00000, 23406.00000
346.29900, 523.00000, 23918.00000
346.34900, 515.00000, 24774.00000
346.40000, 534.00000, 25386.00000
346.45000, 526.00000, 24690.00000
346.50000, 519.00000, 23986.00000
346.54900, 526.00000, 24014.00000
346.59900, 522.00000, 24338.00000
346.64900, 518.00000, 24468.00000
346.70000, 524.00000, 24712.00000
346.75000, 520.00000, 24594.00000
346.79900, 525.00000, 24304.00000
346.84900, 520.00000, 24168.00000
346.89900, 520.00000, 24288.00000
346.94900, 519.00000, 24404.00000
347.00000, 523.00000, 24456.00000
347.05000, 518.00000, 24368.00000
347.09900, 525.00000, 24190.00000
347.14900, 524.00000, 24538.00000
347.19900, 523.00000, 24258.00000
347.25000, 517.00000, 24328.00000
347.30000, 523.00000, 24434.00000
347.35000, 525.00000, 24630.00000
347.39900, 521.00000, 24332.00000
347.44900, 529.00000, 24140.00000
347.49900, 527.00000, 24782.00000
347.55000, 524.00000, 25200.00000
347.60000, 525.00000, 23140.00000
347.65000, 534.00000, 23260.00000
347.69900, 517.00000, 24350.00000
347.74900, 520.00000, 24536.00000
347.79900, 521.00000, 24662.00000
347.85000, 519.00000, 24510.00000
347.90000, 517.00000, 24318.00000
347.95000, 525.00000, 24224.00000
347.99900, 523.00000, 24310.00000
348.04900, 518.00000, 24074.00000
348.09900, 524.00000, 24046.00000
348.15000, 511.00000, 24422.00000
348.20000, 524.00000, 24340.00000
348.25000, 520.00000, 24192.00000
348.29900, 529.00000, 24052.00000
348.34900, 524.00000, 24348.00000
348.39900, 524.00000, 24642.00000
348.45000, 527.00000, 24516.00000
348.50000, 525.00000, 23948.00000
348.55000, 515.00000, 24250.00000
348.59900, 525.00000, 24598.00000
348.64900, 529.00000, 24136.00000
348.69900, 523.00000, 24514.00000
348.75000, 529.00000, 24732.00000
348.80000, 509.00000, 23912.00000
348.85000, 529.00000, 24374.00000
348.89900, 525.00000, 24496.00000
348.94900, 521.00000, 24202.00000
349.00000, 525.00000, 24634.00000
349.05000, 520.00000, 24284.00000
349.01000, 530.00000, 23984.00000
349.15000, 526.00000, 24640.00000
349.19900, 516.00000, 24958.00000
349.24900, 523.00000, 23698.00000
349.30000, 530.00000, 24382.00000
349.35000, 531.00000, 24882.00000
349.40000, 523.00000, 24352.00000
349.45000, 522.00000, 23784.00000
349.49900, 521.00000, 24238.00000
349.54900, 516.00000, 25098.00000
349.60000, 524.00000, 24784.00000
349.65000, 525.00000, 24710.00000
349.70000, 521.00000, 24252.00000
349.75000, 526.00000, 23858.00000
349.79900, 525.00000, 24518.00000
349.84900, 513.00000, 24526.00000
349.90000, 527.00000, 24606.00000
349.95000, 517.00000, 24422.00000
350.00000, 518.00000, 24086.00000
350.05000, 528.00000, 24426.00000
350.09900, 529.00000, 25504.00000
350.14900, 517.00000, 24656.00000
350.20000, 530.00000, 24090.00000
350.25000, 516.00000, 24094.00000
350.30000, 513.00000, 23802.00000
350.35000, 529.00000, 25046.00000
350.39900, 525.00000, 25174.00000
350.45000, 517.00000, 24230.00000
350.50000, 520.00000, 24096.00000
350.55000, 532.00000, 23870.00000
350.60000, 522.00000, 25258.00000
350.65000, 525.00000, 25832.00000
350.69900, 523.00000, 26300.00000
350.75000, 526.00000, 22744.00000
350.80000, 524.00000, 21450.00000
350.85000, 523.00000, 21846.00000
350.90000, 523.00000, 24600.00000
350.94900, 527.00000, 25384.00000
350.99900, 519.00000, 24740.00000
351.05000, 520.00000, 23082.00000
351.01000, 529.00000, 22936.00000
351.15000, 516.00000, 23828.00000
351.20000, 522.00000, 24894.00000
351.24900, 514.00000, 29852.00000
351.29900, 524.00000, 30128.00000
351.35000, 525.00000, 26078.00000
351.40000, 527.00000, 23660.00000
351.45000, 514.00000, 22654.00000
351.50000, 523.00000, 23174.00000
351.54900, 529.00000, 27224.00000
351.59900, 520.00000, 28156.00000
351.65000, 526.00000, 24314.00000
351.70000, 525.00000, 26402.00000
351.75000, 521.00000, 24892.00000
351.80000, 520.00000, 23066.00000
351.84900, 518.00000, 25370.00000
351.89900, 525.00000, 25400.00000
351.95000, 526.00000, 25278.00000
352.00000, 513.00000, 25034.00000
352.05000, 525.00000, 24492.00000
352.01000, 524.00000, 24844.00000
352.14900, 519.00000, 25126.00000
352.20000, 521.00000, 25038.00000
352.25000, 525.00000, 25770.00000
352.30000, 523.00000, 25728.00000
352.35000, 521.00000, 25792.00000
352.40000, 516.00000, 24310.00000
352.44900, 523.00000, 23342.00000
352.50000, 520.00000, 24468.00000
352.55000, 534.00000, 26204.00000
352.60000, 522.00000, 26668.00000
352.65000, 522.00000, 25896.00000
352.70000, 523.00000, 24540.00000
352.74900, 522.00000, 23564.00000
352.80000, 530.00000, 24012.00000
352.85000, 531.00000, 26484.00000
352.90000, 531.00000, 26360.00000
352.95000, 528.00000, 24816.00000
353.00000, 523.00000, 24228.00000
353.04900, 530.00000, 24324.00000
353.01000, 516.00000, 25144.00000
353.15000, 526.00000, 25298.00000
353.20000, 516.00000, 25186.00000
353.25000, 520.00000, 24320.00000
353.30000, 529.00000, 24794.00000
353.34900, 525.00000, 24494.00000
353.40000, 517.00000, 25182.00000
353.45000, 515.00000, 25300.00000
353.50000, 521.00000, 24792.00000
353.55000, 530.00000, 23856.00000
353.60000, 532.00000, 24302.00000
353.65000, 523.00000, 25638.00000
353.70000, 527.00000, 25382.00000
353.75000, 521.00000, 24508.00000
353.80000, 523.00000, 24374.00000
353.85000, 527.00000, 25004.00000
353.90000, 516.00000, 25342.00000
353.95000, 518.00000, 24654.00000
354.00000, 529.00000, 24618.00000
354.05000, 530.00000, 24804.00000
354.01000, 522.00000, 25474.00000
354.15000, 525.00000, 24664.00000
354.20000, 526.00000, 24878.00000
354.25000, 517.00000, 24700.00000
354.30000, 524.00000, 25130.00000
354.35000, 523.00000, 24642.00000
354.40000, 517.00000, 25332.00000
354.45000, 515.00000, 25198.00000
354.50000, 534.00000, 24632.00000
354.55000, 523.00000, 24900.00000
354.60000, 523.00000, 25576.00000
354.65000, 525.00000, 25694.00000
354.70000, 526.00000, 25528.00000
354.75000, 526.00000, 24014.00000
354.80000, 520.00000, 26138.00000
354.85000, 522.00000, 26362.00000
354.90000, 528.00000, 26094.00000
354.95000, 527.00000, 23560.00000
355.00000, 519.00000, 22966.00000
355.05000, 515.00000, 25356.00000
355.10100, 524.00000, 26764.00000
355.15000, 527.00000, 26322.00000
355.20000, 516.00000, 27816.00000
355.25000, 511.00000, 20766.00000
355.30000, 525.00000, 20892.00000
355.35000, 523.00000, 24408.00000
355.40100, 517.00000, 25408.00000
355.45000, 525.00000, 25498.00000
355.50000, 521.00000, 23708.00000
355.55000, 519.00000, 24206.00000
355.60000, 524.00000, 24770.00000
355.65000, 519.00000, 23908.00000
355.70100, 529.00000, 24754.00000
355.75000, 521.00000, 25062.00000
355.80000, 530.00000, 24496.00000
355.85000, 522.00000, 23694.00000
355.90000, 516.00000, 22862.00000
355.95000, 530.00000, 23940.00000
356.01000, 523.00000, 23862.00000
356.05000, 524.00000, 25508.00000
356.01000, 518.00000, 23778.00000
356.15000, 524.00000, 22984.00000
356.20000, 521.00000, 23476.00000
356.25000, 515.00000, 24028.00000
356.30100, 515.00000, 23656.00000
356.35000, 524.00000, 22844.00000
356.40000, 528.00000, 23930.00000
356.45000, 525.00000, 23974.00000
356.50000, 526.00000, 24432.00000
356.55000, 525.00000, 23984.00000
356.60100, 523.00000, 23490.00000
356.65000, 524.00000, 23540.00000
356.70000, 519.00000, 23666.00000
356.75000, 518.00000, 23866.00000
356.80000, 515.00000, 23400.00000
356.85100, 520.00000, 24020.00000
356.90000, 519.00000, 23906.00000
356.95000, 523.00000, 24140.00000
357.00000, 526.00000, 23690.00000
357.05000, 523.00000, 23640.00000
357.01000, 530.00000, 23940.00000
357.15100, 529.00000, 23526.00000
357.20000, 530.00000, 23736.00000
357.25000, 521.00000, 23840.00000
357.30000, 521.00000, 24082.00000
