t, reading, imuVal 
2.82100, 514.00000, 21358.00000
542.87100, 519.00000, 20494.00000
542.92200, 525.00000, 19900.00000
542.97100, 529.00000, 19938.00000
543.02100, 519.00000, 20534.00000
543.07100, 529.00000, 21714.00000
543.12100, 524.00000, 21024.00000
543.17100, 528.00000, 23142.00000
543.22200, 522.00000, 25666.00000
543.27100, 524.00000, 24148.00000
543.32100, 525.00000, 22860.00000
543.37100, 529.00000, 20610.00000
543.42100, 520.00000, 18838.00000
543.47100, 521.00000, 17464.00000
543.52200, 518.00000, 16926.00000
543.57100, 515.00000, 16252.00000
543.62100, 521.00000, 19398.00000
543.67100, 532.00000, 23194.00000
543.72100, 525.00000, 25112.00000
543.77100, 525.00000, 22066.00000
543.82200, 521.00000, 23042.00000
543.87100, 524.00000, 24438.00000
543.92100, 524.00000, 23938.00000
543.97100, 522.00000, 16852.00000
544.02100, 524.00000, 17592.00000
544.07200, 534.00000, 19316.00000
544.12200, 524.00000, 18690.00000
544.17100, 512.00000, 23280.00000
544.22100, 514.00000, 26124.00000
544.27100, 524.00000, 23698.00000
544.32100, 526.00000, 24972.00000
544.37200, 518.00000, 23074.00000
544.42200, 529.00000, 22028.00000
544.47100, 529.00000, 21174.00000
544.52100, 518.00000, 25212.00000
544.57100, 525.00000, 28664.00000
544.62100, 521.00000, 23134.00000
544.67200, 516.00000, 20138.00000
544.72200, 513.00000, 23648.00000
544.77100, 526.00000, 21674.00000
544.82100, 527.00000, 19546.00000
544.87100, 525.00000, 23590.00000
544.92100, 514.00000, 23782.00000
544.97200, 524.00000, 19974.00000
545.02200, 518.00000, 16414.00000
545.07100, 534.00000, 16786.00000
545.12100, 525.00000, 19872.00000
545.17100, 521.00000, 22072.00000
545.22100, 527.00000, 23260.00000
545.27200, 521.00000, 27954.00000
545.32200, 521.00000, -31392.00000
545.37100, 533.00000, 27498.00000
545.42100, 511.00000, 18696.00000
545.47100, 521.00000, 19276.00000
545.52200, 515.00000, 20354.00000
545.57200, 516.00000, 21068.00000
545.62200, 518.00000, 21544.00000
545.67100, 518.00000, 20030.00000
545.72100, 527.00000, 18724.00000
545.77100, 527.00000, 20894.00000
545.82200, 518.00000, 21264.00000
545.87200, 519.00000, 24432.00000
545.92200, 518.00000, 28288.00000
545.97100, 515.00000, 29382.00000
546.02100, 496.00000, 26060.00000
546.07100, 515.00000, 26454.00000
546.12200, 522.00000, 24992.00000
546.17200, 525.00000, 25502.00000
546.22200, 537.00000, 24288.00000
546.27100, 516.00000, 15610.00000
546.32100, 520.00000, 19070.00000
546.37100, 528.00000, 16026.00000
546.42200, 526.00000, 17886.00000
546.47200, 516.00000, 20604.00000
546.52200, 523.00000, 21194.00000
546.57100, 522.00000, 22882.00000
546.62100, 517.00000, 25172.00000
546.67100, 524.00000, 22560.00000
546.72200, 532.00000, 21798.00000
546.77200, 517.00000, 28236.00000
546.82200, 507.00000, 30976.00000
546.87100, 526.00000, 21910.00000
546.92100, 521.00000, 19146.00000
546.97100, 521.00000, 21966.00000
547.02200, 527.00000, 21900.00000
547.07200, 528.00000, 20646.00000
547.12200, 514.00000, 23750.00000
547.17100, 524.00000, 24872.00000
547.22100, 531.00000, 23904.00000
547.27200, 521.00000, 28178.00000
547.32200, 527.00000, 26804.00000
547.37200, 523.00000, 25558.00000
547.42200, 521.00000, 24880.00000
547.47100, 518.00000, 21908.00000
547.52100, 525.00000, 19268.00000
547.57200, 513.00000, 17018.00000
547.62200, 522.00000, 18384.00000
547.67200, 524.00000, 19914.00000
547.72200, 540.00000, 19400.00000
547.77100, 527.00000, 20478.00000
547.82100, 515.00000, 21628.00000
547.87200, 522.00000, 20610.00000
547.92200, 524.00000, 22852.00000
547.97200, 514.00000, 26384.00000
548.02200, 522.00000, 20094.00000
548.07100, 527.00000, 19206.00000
548.12100, 517.00000, 28088.00000
548.17200, 530.00000, 21658.00000
548.22200, 519.00000, 26188.00000
548.27200, 516.00000, 30826.00000
548.32200, 510.00000, 28692.00000
548.37100, 523.00000, 19398.00000
548.42100, 491.00000, 18080.00000
548.47200, 532.00000, 23634.00000
548.52200, 520.00000, 24644.00000
548.57200, 528.00000, 25440.00000
548.62200, 529.00000, 27408.00000
548.67100, 524.00000, 29188.00000
548.72200, 519.00000, 23666.00000
548.77200, 521.00000, 23450.00000
548.82200, 507.00000, 23068.00000
548.87200, 525.00000, 22012.00000
548.92100, 521.00000, 21260.00000
548.97100, 519.00000, 19484.00000
549.02200, 492.00000, 22136.00000
549.07200, 520.00000, 22058.00000
549.12200, 523.00000, 22418.00000
549.17200, 517.00000, 22000.00000
549.22200, 503.00000, 21728.00000
549.27100, 530.00000, 22114.00000
549.32200, 523.00000, 20430.00000
549.37200, 525.00000, 17702.00000
