t, reading 
12.38900, 515.00000
12.43900, 428.00000
12.48900, 590.00000
12.54000, 688.00000
12.59000, 623.00000
12.63900, 670.00000
12.68900, 868.00000
12.73900, 536.00000
12.78900, 451.00000
12.84000, 397.00000
12.89000, 901.00000
12.93900, 709.00000
12.98900, 188.00000
13.39000, 126.00000
13.89000, 708.00000
13.14000, 643.00000
13.19000, 297.00000
13.23900, 393.00000
13.28900, 331.00000
13.33900, 538.00000
13.38900, 457.00000
13.44000, 532.00000
13.49000, 214.00000
13.53900, 428.00000
13.58900, 415.00000
13.63900, 475.00000
13.68900, 511.00000
13.74000, 656.00000
13.79000, 487.00000
13.83900, 408.00000
13.88900, 506.00000
13.93900, 420.00000
13.98900, 368.00000
14.40000, 475.00000
14.90000, 653.00000
14.13900, 482.00000
14.18900, 285.00000
14.23900, 357.00000
14.29000, 590.00000
14.34000, 515.00000
14.39000, 607.00000
14.43900, 530.00000
14.48900, 584.00000
14.53900, 260.00000
14.59000, 282.00000
14.64000, 568.00000
14.69000, 747.00000
14.73900, 658.00000
14.78900, 447.00000
14.83900, 451.00000
14.89000, 620.00000
14.94000, 529.00000
14.99000, 420.00000
15.39000, 594.00000
15.89000, 856.00000
15.13900, 440.00000
15.19000, 274.00000
15.24000, 299.00000
15.29000, 614.00000
15.33900, 432.00000
15.38900, 430.00000
15.43900, 419.00000
15.49000, 414.00000
15.54000, 577.00000
15.59000, 396.00000
15.63900, 493.00000
15.68900, 559.00000
15.74000, 737.00000
15.79000, 505.00000
15.84000, 437.00000
15.89000, 542.00000
15.93900, 427.00000
15.98900, 460.00000
16.40000, 526.00000
16.90000, 598.00000
16.14000, 485.00000
16.19000, 343.00000
16.23900, 431.00000
16.28900, 614.00000
16.34000, 511.00000
16.39000, 593.00000
16.44000, 688.00000
16.49000, 705.00000
16.53900, 495.00000
16.58900, 280.00000
16.64000, 480.00000
16.69000, 717.00000
16.74000, 608.00000
16.79000, 549.00000
16.83900, 431.00000
16.88900, 637.00000
16.94000, 500.00000
16.99000, 357.00000
17.40000, 642.00000
17.90000, 662.00000
17.13900, 594.00000
17.18900, 352.00000
17.24000, 362.00000
17.29000, 353.00000
17.34000, 621.00000
17.39000, 439.00000
17.43900, 404.00000
17.49000, 453.00000
17.54000, 425.00000
17.59000, 416.00000
17.64000, 481.00000
17.69000, 806.00000
17.73900, 705.00000
17.79000, 391.00000
17.84000, 389.00000
17.89000, 439.00000
17.94000, 633.00000
17.99000, 487.00000
18.39000, 459.00000
18.90000, 482.00000
18.14000, 486.00000
18.19000, 398.00000
18.24000, 436.00000
18.29000, 530.00000
18.33900, 717.00000
18.39000, 499.00000
18.44000, 436.00000
18.49000, 435.00000
18.54000, 323.00000
18.59000, 510.00000
18.63900, 599.00000
18.69000, 581.00000
18.74000, 553.00000
18.79000, 366.00000
18.84000, 495.00000
18.89000, 594.00000
18.94000, 555.00000
18.99000, 662.00000
19.40000, 595.00000
19.90000, 491.00000
19.14000, 449.00000
19.19000, 349.00000
19.24000, 514.00000
19.29000, 587.00000
19.34000, 414.00000
19.39000, 395.00000
19.44000, 422.00000
19.49000, 435.00000
19.54000, 487.00000
19.59000, 474.00000
19.64000, 749.00000
19.69000, 649.00000
19.74000, 512.00000
19.79000, 318.00000
19.84000, 354.00000
19.89000, 469.00000
19.94000, 619.00000
19.99000, 446.00000
20.40000, 405.00000
20.90000, 482.00000
20.14000, 492.00000
20.19000, 380.00000
20.24000, 492.00000
20.29000, 747.00000
20.34000, 650.00000
20.39100, 397.00000
20.44000, 371.00000
20.49000, 487.00000
20.54000, 493.00000
20.59000, 485.00000
20.64000, 523.00000
20.69100, 483.00000
20.74000, 507.00000
20.79000, 289.00000
20.84000, 424.00000
20.89000, 545.00000
20.94000, 740.00000
20.99100, 575.00000
21.40000, 428.00000
21.90000, 434.00000
21.14000, 461.00000
21.19000, 518.00000
21.24000, 457.00000
21.29100, 526.00000
21.34000, 488.00000
21.39000, 380.00000
21.44000, 400.00000
21.49000, 446.00000
21.54000, 466.00000
21.59100, 471.00000
21.64000, 724.00000
21.69000, 607.00000
21.74000, 486.00000
21.79000, 263.00000
21.84000, 411.00000
21.89100, 569.00000
21.94000, 406.00000
21.99000, 380.00000
22.40000, 526.00000
22.90000, 472.00000
22.14100, 329.00000
22.19100, 427.00000
22.24000, 445.00000
22.29000, 522.00000
22.34000, 586.00000
22.39000, 610.00000
22.44100, 657.00000
22.49100, 442.00000
22.54000, 446.00000
22.59000, 482.00000
