t, reading 
92.40400, 88.64087
92.45500, 405.87352
92.50500, 771.58515
92.55400, 774.39279
92.60400, 411.52959
92.65400, 161.96213
92.70400, 369.43028
92.75500, 801.72815
92.80500, 973.75329
92.85400, 722.69045
92.90400, 300.76610
92.95400, 47.46243
93.40000, 63.00388
93.55000, 228.65795
93.10500, 387.01640
93.15400, 454.95374
93.20400, 459.45950
93.25400, 451.28985
93.30400, 450.36767
93.35500, 478.85896
93.40400, 575.65533
93.45400, 704.98446
93.50400, 715.57671
93.55400, 554.25109
93.60400, 386.49638
93.65500, 384.03834
93.70400, 505.77649
93.75400, 568.82626
93.80400, 511.55120
93.85400, 457.65346
93.90400, 489.22463
93.95500, 558.49015
94.40000, 610.89387
94.54000, 636.37676
94.10400, 692.18850
94.15400, 786.36702
94.20500, 793.30784
94.25500, 685.75325
94.30400, 563.96969
94.35400, 482.38962
94.40400, 457.65381
94.45400, 479.29879
94.50500, 503.73284
94.55500, 495.00042
94.60400, 463.23998
94.65400, 448.88423
94.70400, 458.03196
94.75400, 506.98725
94.80500, 634.91694
94.85500, 753.56422
94.90400, 710.84972
94.95400, 539.50889
95.40000, 411.69470
95.54000, 415.66824
95.10500, 506.96198
95.15500, 588.51367
95.20400, 586.86663
95.25400, 513.40025
95.30400, 438.24297
95.35400, 404.17921
95.40500, 417.29962
95.45500, 488.11921
95.50400, 619.96787
95.55400, 719.75733
95.60400, 664.85128
95.65500, 507.25175
95.70500, 396.48072
95.75500, 382.92847
95.80400, 440.14357
95.85400, 506.93181
95.90400, 514.47857
95.95500, 453.29017
96.50000, 370.76661
96.55000, 350.44607
96.10400, 431.16682
96.15400, 552.92073
96.20400, 666.04057
96.25500, 737.43573
96.30500, 702.71815
96.35500, 580.40726
96.40400, 481.27341
96.45400, 478.61885
96.50400, 561.56979
96.55500, 638.18827
96.60500, 611.02083
96.65500, 508.08382
96.70400, 452.60822
96.75400, 486.41996
96.80400, 532.41066
96.85500, 542.45846
96.90500, 569.28662
96.95500, 658.88288
97.40000, 730.00645
97.54000, 671.83179
97.10400, 528.65981
97.15500, 437.02372
97.20500, 455.72395
97.25500, 526.56162
97.30400, 550.85859
97.35400, 507.58247
97.40500, 456.34073
97.45500, 438.90011
97.50500, 452.64009
97.55500, 479.91537
97.60400, 496.56515
97.65400, 518.11030
97.70500, 606.53828
97.75500, 716.52888
97.80500, 702.55982
97.85500, 561.55108
97.90400, 438.35095
97.95400, 424.73946
98.50000, 494.20181
98.55000, 553.89175
98.10500, 538.67630
98.15500, 479.85971
98.20400, 448.98793
98.25400, 463.29363
98.30500, 487.27122
98.35500, 494.52190
98.40500, 506.74049
98.45500, 577.60360
98.50400, 685.68728
98.55400, 699.27483
98.60500, 572.11588
98.65500, 439.36820
98.70500, 425.80973
98.75400, 500.30697
98.80400, 552.19480
98.85500, 534.49148
98.90500, 487.86141
98.95500, 459.02016
99.50000, 458.18544
99.54000, 472.95495
99.10400, 485.33170
99.15500, 490.43697
99.20500, 530.67318
99.25500, 636.87416
99.30500, 705.73744
99.35400, 624.63236
99.40400, 470.80807
99.45500, 401.87578
99.50500, 454.61068
99.55500, 534.03451
99.60500, 546.76308
99.65400, 498.45706
99.70400, 455.68696
99.75500, 455.73269
99.80500, 479.94704
99.85500, 498.98388
99.90500, 500.15620
99.95400, 490.42359
100.40000, 528.53779
100.55000, 650.47232
100.10500, 730.84156
100.15500, 637.30943
100.20500, 459.04610
100.25400, 375.48311
100.30400, 435.68652
100.35500, 542.84019
100.40500, 575.68308
100.45500, 518.45291
100.50500, 452.66880
100.55400, 433.88356
100.60500, 452.49025
100.65500, 478.38508
100.70500, 485.90893
100.75500, 519.19594
100.80500, 644.87226
100.85400, 757.00985
100.90500, 688.04390
100.95500, 494.21326
101.50000, 372.90705
101.55000, 410.20970
101.10500, 525.19159
101.15400, 581.41549
101.20500, 535.35338
101.25500, 458.12628
101.30500, 422.54591
101.35500, 436.91194
101.40500, 468.66946
101.45400, 486.03412
101.50500, 526.33146
101.55500, 652.13310
101.60500, 764.11125
101.65500, 696.18069
101.70500, 499.47645
101.75400, 375.37572
101.80500, 415.39303
101.85500, 533.64691
101.90500, 586.31828
101.95500, 530.77077
102.50000, 450.34080
102.55000, 423.21678
102.10500, 446.23679
102.15500, 477.37135
102.20500, 488.14646
102.25500, 524.40516
102.30500, 653.18165
102.35500, 769.09534
102.40500, 699.09959
102.45500, 499.70845
102.50500, 376.82605
102.55500, 416.00072
102.60500, 527.78442
102.65500, 576.94554
102.70500, 528.65611
102.75500, 457.07833
102.80500, 431.31376
102.85500, 452.57991
102.90400, 483.51466
102.95500, 506.22222
103.50000, 565.90642
103.55000, 686.01886
103.10500, 740.13519
103.15500, 618.94529
103.20400, 438.33841
103.25500, 376.53440
103.30500, 457.00791
103.35500, 558.27238
103.40500, 568.56237
103.45500, 500.94954
103.50400, 440.82077
103.55500, 438.65891
103.60500, 471.57654
103.65500, 493.22571
103.70500, 533.49338
103.75500, 650.44120
103.80500, 743.07910
103.85500, 661.51207
103.90500, 474.24827
103.95500, 372.07563
104.50000, 425.03684
104.55000, 536.82696
104.10500, 574.04920
104.15500, 517.47139
104.20500, 452.25134
104.25500, 440.37119
104.30500, 470.44786
104.35500, 498.70396
